Timestamp,Symbol,Signal_Type,Close,Strength,Reason,OR_High,OR_Low
2026-07-30 11:41:12,SUNPHARMA,REVERSAL_UP,2011.20,100,Bullish reversal: broke above OR_HIGH (2008.90) by 53.33%,2008.90,2004.40
2026-07-31 09:56:24,JINDALSTEL,REVERSAL_UP,1108.40,41,Bullish reversal: broke above OR_HIGH (1107.70) by 20.55%,1107.70,1100.40
2026-07-31 09:56:24,PNB,REVERSAL_DOWN,112.11,45,Bearish reversal: broke below OR_LOW (112.16) by 22.73%,112.38,112.16
2026-07-31 09:56:24,PETRONET,REVERSAL_UP,278.50,27,Bullish reversal: broke above OR_HIGH (278.35) by 13.64%,278.35,277.25
2026-07-31 09:56:24,BHARATFORG,REVERSAL_UP,2201.50,100,Bullish reversal: broke above OR_HIGH (2199.00) by 52.98%,2199.00,2182.20
2026-07-31 09:56:24,MANAPPURAM,REVERSAL_UP,374.55,100,Bullish reversal: broke above OR_HIGH (372.00) by 124.39%,372.00,369.95
2026-07-31 10:10:50,INDIGO,REVERSAL_UP,5276.50,100,Bullish reversal: broke above OR_HIGH (5271.00) by 55.00%,5271.00,5261.00
2026-07-31 10:17:01,ETERNAL,REVERSAL_DOWN,308.00,35,Bearish reversal: broke below OR_LOW (308.50) by 17.53%,313.35,308.50
2026-07-31 10:17:01,INDHOTEL,REVERSAL_DOWN,748.30,4,Bearish reversal: broke below OR_LOW (748.40) by 2.22%,757.40,748.40
2026-07-31 10:17:01,LUPIN,REVERSAL_DOWN,2409.50,8,Bearish reversal: broke below OR_LOW (2410.00) by 3.97%,2422.60,2410.00
2026-07-31 10:21:14,GRASIM,REVERSAL_UP,3134.00,26,Bullish reversal: broke above OR_HIGH (3133.70) by 12.99%,3133.70,3126.00
2026-07-31 10:23:54,IREDA,REVERSAL_DOWN,119.76,90,Bearish reversal: broke below OR_LOW (119.83) by 45.16%,120.14,119.83
2026-07-31 10:30:05,SUNPHARMA,REVERSAL_DOWN,2009.10,13,Bearish reversal: broke below OR_LOW (2009.60) by 6.33%,2017.50,2009.60
